"","bloom.year","bloom.bloom_doy","cum_heat"
"206",1323,124,NA
"207",1324,98,NA
"208",1326,107,NA
"209",1329,112,NA
"210",1330,108,NA
"211",1331,112,NA
"212",1332,115,NA
"213",1342,110,NA
"214",1344,102,NA
"215",1346,107,NA
"216",1347,109,NA
"217",1349,112,NA
"218",1350,101,NA
"219",1351,115,NA
"220",1356,117,NA
"221",1357,107,NA
"222",1358,110,NA
"223",1359,105,NA
"224",1360,101,NA
"225",1361,108,NA
"226",1363,107,NA
"227",1364,110,NA
"228",1366,112,NA
"229",1367,97,NA
"230",1368,88,NA
"231",1369,94,NA
"232",1370,109,NA
"233",1372,102,NA
"234",1373,110,NA
"235",1375,103,NA
"236",1376,99,NA
"237",1377,105,NA
"238",1378,104,NA
"239",1379,103,NA
"240",1380,102,NA
"241",1381,108,NA
"242",1382,105,NA
"243",1383,102,NA
"244",1384,98,NA
"245",1385,99,NA
"246",1386,105,NA
"247",1387,100,NA
"248",1388,99,NA
"249",1398,106,NA
"250",1401,101,NA
"251",1402,103,NA
"252",1403,104,NA
"253",1406,102,NA
"254",1407,101,NA
"255",1408,111,NA
"256",1409,86,NA
"257",1410,102,NA
"258",1412,93,NA
"259",1413,91,NA
"260",1415,105,NA
"261",1416,101,NA
"262",1417,109,NA
"263",1418,98,NA
"264",1419,100,NA
"265",1420,112,NA
"266",1421,99,NA
"267",1422,109,NA
"268",1423,96,NA
"269",1424,103,NA
"270",1425,98,NA
"271",1426,99,NA
"272",1427,102,NA
"273",1429,98,NA
"274",1430,108,NA
"275",1431,102,NA
"276",1432,104,NA
"277",1433,98,NA
"278",1434,113,NA
"279",1435,95,NA
"280",1436,101,NA
"281",1437,103,NA
"282",1438,99,NA
"283",1439,101,NA
"284",1440,98,NA
"285",1441,105,NA
"286",1443,107,NA
"287",1444,109,NA
"288",1446,108,NA
"289",1447,111,NA
"290",1448,96,NA
"291",1449,95,NA
"292",1450,100,NA
"293",1451,103,NA
"294",1452,92,NA
"295",1453,107,NA
"296",1454,105,NA
"297",1455,96,NA
"298",1456,106,NA
"299",1457,105,NA
"300",1458,112,NA
"301",1459,113,NA
"302",1460,111,NA
"303",1461,106,NA
"304",1462,106,NA
"305",1463,101,NA
"306",1464,104,NA
"307",1465,98,NA
"308",1466,105,NA
"309",1467,101,NA
"310",1468,101,NA
"311",1472,114,NA
"312",1474,98,NA
"313",1476,100,NA
"314",1477,110,NA
"315",1478,115,NA
"316",1479,110,NA
"317",1480,104,NA
"318",1481,106,NA
"319",1482,108,NA
"320",1483,101,NA
"321",1484,97,NA
"322",1485,94,NA
"323",1486,99,NA
"324",1487,93,NA
"325",1488,103,NA
"326",1489,100,NA
"327",1490,97,NA
"328",1491,107,NA
"329",1492,108,NA
"330",1493,100,NA
"331",1494,106,NA
"332",1495,94,NA
"333",1496,97,NA
"334",1497,108,NA
"335",1498,97,NA
"336",1499,111,NA
"337",1500,97,NA
"338",1501,103,NA
"339",1502,115,NA
"340",1503,108,NA
"341",1504,114,NA
"342",1505,106,NA
"343",1506,106,NA
"344",1507,108,NA
"345",1508,111,NA
"346",1509,102,NA
"347",1510,110,NA
"348",1511,111,NA
"349",1512,109,NA
"350",1513,110,NA
"351",1514,105,NA
"352",1515,111,NA
"353",1516,104,NA
"354",1517,106,NA
"355",1518,115,NA
"356",1519,111,NA
"357",1520,105,NA
"358",1521,107,NA
"359",1522,103,NA
"360",1523,109,NA
"361",1524,109,NA
"362",1525,104,NA
"363",1526,113,NA
"364",1527,105,NA
"365",1528,106,NA
"366",1529,107,NA
"367",1530,107,NA
"368",1531,103,NA
"369",1532,108,NA
"370",1533,111,NA
"371",1534,108,NA
"372",1535,95,NA
"373",1536,108,NA
"374",1537,108,NA
"375",1538,112,NA
"376",1539,120,NA
"377",1540,122,NA
"378",1541,109,NA
"379",1542,102,NA
"380",1543,119,NA
"381",1544,107,NA
"382",1545,97,NA
"383",1546,112,NA
"384",1547,104,NA
"385",1548,118,NA
"386",1549,117,NA
"387",1550,111,NA
"388",1551,109,NA
"389",1552,104,NA
"390",1553,119,NA
"391",1555,101,NA
"392",1556,120,NA
"393",1557,93,NA
"394",1558,111,NA
"395",1559,96,NA
"396",1560,100,NA
"397",1561,102,NA
"398",1562,99,NA
"399",1563,99,NA
"400",1564,109,NA
"401",1565,114,NA
"402",1566,97,NA
"403",1567,108,NA
"404",1568,106,NA
"405",1570,112,NA
"406",1571,108,NA
"407",1572,107,NA
"408",1574,98,NA
"409",1576,109,NA
"410",1577,100,NA
"411",1579,102,NA
"412",1580,97,NA
"413",1581,105,NA
"414",1583,108,NA
"415",1584,106,NA
"416",1585,105,NA
"417",1586,106,NA
"418",1587,105,NA
"419",1588,106,NA
"420",1589,105,NA
"421",1590,102,NA
"422",1591,94,NA
"423",1592,98,NA
"424",1593,113,NA
"425",1594,93,NA
"426",1595,111,NA
"427",1596,104,NA
"428",1597,114,NA
"429",1598,110,NA
"430",1599,103,NA
"431",1600,101,NA
"432",1601,93,NA
"433",1602,107,NA
"434",1603,99,NA
"435",1604,95,NA
"436",1605,105,NA
"437",1606,106,NA
"438",1607,110,NA
"439",1609,108,NA
"440",1610,110,NA
"441",1612,87,NA
"442",1613,106,NA
"443",1614,103,NA
"444",1615,110,NA
"445",1616,122,NA
"446",1617,107,NA
"447",1618,102,NA
"448",1619,93,NA
"449",1621,109,NA
"450",1622,106,NA
"451",1623,113,NA
"452",1624,112,NA
"453",1625,95,NA
"454",1626,100,NA
"455",1628,104,NA
"456",1629,112,NA
"457",1632,104,NA
"458",1633,98,NA
"459",1634,96,NA
"460",1635,97,NA
"461",1637,105,NA
"462",1638,105,NA
"463",1639,108,NA
"464",1640,103,NA
"465",1641,117,NA
"466",1642,114,NA
"467",1643,114,NA
"468",1644,105,NA
"469",1645,99,NA
"470",1646,87,NA
"471",1647,112,NA
"472",1649,104,NA
"473",1650,102,NA
"474",1651,107,NA
"475",1652,107,NA
"476",1653,112,NA
"477",1654,104,NA
"478",1655,104,NA
"479",1656,103,NA
"480",1658,108,NA
"481",1660,111,NA
"482",1661,93,NA
"483",1662,110,NA
"484",1663,105,NA
"485",1664,105,NA
"486",1665,112,NA
"487",1666,108,NA
"488",1667,112,NA
"489",1668,110,NA
"490",1669,104,NA
"491",1670,102,NA
"492",1671,116,NA
"493",1672,112,NA
"494",1673,105,NA
"495",1674,115,NA
"496",1675,111,NA
"497",1676,103,NA
"498",1677,96,NA
"499",1678,109,NA
"500",1679,114,NA
"501",1680,109,NA
"502",1681,110,NA
"503",1682,104,NA
"504",1683,108,NA
"505",1684,118,NA
"506",1685,106,NA
"507",1686,104,NA
"508",1687,104,NA
"509",1688,114,NA
"510",1689,97,NA
"511",1690,93,NA
"512",1691,103,NA
"513",1692,109,NA
"514",1693,107,NA
"515",1694,109,NA
"516",1695,120,NA
"517",1696,114,NA
"518",1697,111,NA
"519",1698,101,NA
"520",1699,97,NA
"521",1700,116,NA
"522",1701,112,NA
"523",1702,116,NA
"524",1703,103,NA
"525",1704,113,NA
"526",1705,109,NA
"527",1706,115,NA
"528",1707,111,NA
"529",1708,103,NA
"530",1709,106,NA
"531",1713,104,NA
"532",1714,108,NA
"533",1715,107,NA
"534",1716,110,NA
"535",1717,98,NA
"536",1718,102,NA
"537",1719,102,NA
"538",1720,114,NA
"539",1721,95,NA
"540",1722,100,NA
"541",1723,104,NA
"542",1724,99,NA
"543",1725,106,NA
"544",1726,116,NA
"545",1727,112,NA
"546",1728,104,NA
"547",1729,105,NA
"548",1731,104,NA
"549",1732,108,NA
"550",1733,107,NA
"551",1734,102,NA
"552",1735,101,NA
"553",1736,106,NA
"554",1737,93,NA
"555",1738,101,NA
"556",1739,110,NA
"557",1740,115,NA
"558",1741,109,NA
"559",1742,109,NA
"560",1743,108,NA
"561",1744,98,NA
"562",1745,105,NA
"563",1746,110,NA
"564",1747,101,NA
"565",1748,96,NA
"566",1749,100,NA
"567",1750,110,NA
"568",1751,103,NA
"569",1752,110,NA
"570",1753,96,NA
"571",1754,115,NA
"572",1755,120,NA
"573",1756,109,NA
"574",1757,112,NA
"575",1758,101,NA
"576",1759,109,NA
"577",1760,103,NA
"578",1761,89,NA
"579",1762,106,NA
"580",1763,112,NA
"581",1764,98,NA
"582",1765,106,NA
"583",1766,113,NA
"584",1767,101,NA
"585",1768,117,NA
"586",1769,105,NA
"587",1770,105,NA
"588",1771,104,NA
"589",1772,106,NA
"590",1773,100,NA
"591",1774,110,NA
"592",1775,99,NA
"593",1776,108,NA
"594",1777,104,NA
"595",1778,111,NA
"596",1779,96,NA
"597",1780,109,NA
"598",1781,91,NA
"599",1782,109,NA
"600",1783,103,NA
"601",1784,105,NA
"602",1785,108,NA
"603",1786,106,NA
"604",1787,105,NA
"605",1788,109,NA
"606",1789,106,NA
"607",1790,119,NA
"608",1791,99,NA
"609",1792,101,NA
"610",1793,106,NA
"611",1794,104,NA
"612",1795,113,NA
"613",1796,103,NA
"614",1797,97,NA
"615",1798,110,NA
"616",1799,103,NA
"617",1800,103,NA
"618",1801,105,NA
"619",1802,96,NA
"620",1803,110,NA
"621",1804,104,NA
"622",1805,93,NA
"623",1806,114,NA
"624",1807,116,NA
"625",1808,98,NA
"626",1809,107,NA
"627",1810,100,NA
"628",1811,110,NA
"629",1812,120,NA
"630",1813,107,NA
"631",1814,113,NA
"632",1815,111,NA
"633",1816,103,NA
"634",1817,110,NA
"635",1818,106,NA
"636",1819,106,NA
"637",1820,95,NA
"638",1821,109,NA
"639",1822,102,NA
"640",1823,106,NA
"641",1824,108,NA
"642",1825,114,NA
"643",1826,109,NA
"644",1827,100,NA
"645",1828,113,NA
"646",1829,112,NA
"647",1830,105,NA
"648",1831,114,NA
"649",1832,113,NA
"650",1833,107,NA
"651",1834,111,NA
"652",1835,112,NA
"653",1836,112,NA
"654",1837,111,NA
"655",1838,109,NA
"656",1839,120,NA
"657",1840,105,NA
"658",1841,107,NA
"659",1842,96,NA
"660",1843,106,NA
"661",1844,106,NA
"662",1845,102,NA
"663",1846,98,NA
"664",1847,107,NA
"665",1848,102,NA
"666",1849,100,NA
"667",1850,109,NA
"668",1851,102,NA
"669",1852,113,NA
"670",1853,102,NA
"671",1854,102,NA
"672",1855,101,NA
"673",1856,111,NA
"674",1857,108,NA
"675",1858,104,NA
"676",1859,110,NA
"677",1860,113,NA
"678",1861,100,NA
"679",1862,117,NA
"680",1863,118,NA
"681",1864,105,NA
"682",1865,97,NA
"683",1866,102,NA
"684",1867,101,NA
"685",1868,104,NA
"686",1869,105,NA
"687",1870,99,NA
"688",1871,104,NA
"689",1873,104,NA
"690",1874,107,NA
"691",1875,103,NA
"692",1876,111,NA
"693",1877,104,NA
"694",1878,101,NA
"695",1879,102,NA
"696",1880,110,NA
"697",1881,112,NA
"698",1882,97,NA
"699",1883,107,NA
"700",1884,109,NA
"701",1885,113,NA
"702",1886,108,NA
"703",1887,109,NA
"704",1888,107,NA
"705",1889,109,NA
"706",1890,98,NA
"707",1891,99,NA
"708",1892,115,NA
"709",1893,109,NA
"710",1894,98,NA
"711",1896,106,NA
"712",1897,106,NA
"713",1898,108,NA
"714",1899,99,NA
"715",1900,102,NA
"716",1901,102,NA
"717",1902,98,NA
"718",1903,99,NA
"719",1904,108,NA
"720",1905,105,NA
"721",1906,105,NA
"722",1907,103,NA
"723",1908,102,NA
"724",1909,108,NA
"725",1910,104,NA
"726",1911,98,NA
"727",1912,105,NA
"728",1913,103,NA
"729",1914,102,NA
"730",1915,102,NA
"731",1916,112,NA
"732",1917,103,NA
"733",1918,104,NA
"734",1920,104,NA
"735",1922,101,NA
"736",1923,97,NA
"737",1924,111,NA
"738",1925,108,NA
"739",1926,108,NA
"740",1927,107,NA
"741",1928,107,NA
"742",1929,103,NA
"743",1930,95,NA
"744",1931,105,NA
"745",1932,105,NA
"746",1933,106,NA
"747",1934,104,NA
"748",1935,102,NA
"749",1936,111,NA
"750",1937,100,NA
"751",1938,98,NA
"752",1939,104,NA
"753",1940,110,NA
"754",1941,100,NA
"755",1942,96,NA
"756",1943,101,NA
"757",1944,100,NA
"758",1946,97,NA
"759",1947,107,NA
"760",1948,102,NA
"761",1949,107,NA
"762",1950,99,NA
"763",1951,98,NA
"764",1952,105,NA
"765",1953,101,NA
"766",1954,98,NA
"767",1955,97,NA
"768",1956,99,NA
"769",1957,103,NA
"770",1958,99,NA
"771",1959,92,NA
"772",1960,95,NA
"773",1961,99,NA
"774",1962,102,NA
"775",1963,101,NA
"776",1964,99,NA
"777",1965,110,NA
"778",1966,97,NA
"779",1967,97,NA
"780",1968,99,NA
"781",1969,101,NA
"782",1970,107,NA
"783",1971,98,NA
"784",1972,99,NA
"785",1973,97,NA
"786",1974,99,NA
"787",1975,100,NA
"788",1976,99,NA
"789",1977,93,NA
"790",1978,104,NA
"791",1979,97,NA
"792",1980,102,NA
"793",1981,99,NA
"794",1982,93,NA
"795",1983,99,NA
"796",1984,109,NA
"797",1985,99,NA
"798",1986,102,NA
"799",1987,95,NA
"800",1988,106,NA
"801",1989,93,NA
"802",1990,88,NA
"803",1991,97,NA
"804",1992,94,NA
"805",1993,97,NA
"806",1994,99,NA
"807",1995,99,NA
"808",1996,103,NA
"809",1997,97,4375.16102622969
"810",1998,91,4158.27316524525
"811",1999,94,4237.07679032073
"812",2000,100,5439.85290492603
"813",2001,96,4280.27909708754
"814",2002,91,4244.61982171219
"815",2003,98,4350.10566757922
"816",2004,92,4796.56150058542
"817",2005,99,4477.14509211193
"818",2006,98,4384.86917969723
"819",2007,97,4665.08121990146
"820",2008,95,4316.00662603454
"821",2009,95,4476.34747098017
"822",2010,95,4435.89001783139
"823",2011,99,4457.36514896154
"824",2012,101,4532.99000610889
"825",2013,93,4233.59127282705
"826",2014,94,4322.08089305271
"827",2015,93,4333.64627116062
"828",2016,95,4545.41337510361
"829",2017,99,4588.01017627059
"830",2018,89,4031.60059291523
"831",2019,95,4474.64470049271
"832",2020,92,4524.6106913677
"833",2021,85,4060.33912876339
