,year,Temp,Prec,Humi,bloom_doy,wspd,pressure
28,1973,42.36380235,0.095666667,56.87911863,101,9.501573845,30.01358742
29,1974,44.07202721,0.079666667,52.42748337,93,9.14715647,29.95871354
30,1975,42.37603651,0.09975,54.43998727,93,9.461298163,29.92427087
31,1976,44.91179623,0.070247934,50.11612834,83,10.09859528,29.91056157
32,1977,41.24483994,0.041916667,52.63722463,85,11.34552334,29.97900451
33,1978,37.26496449,0.085833333,46.91436651,102,10.97331366,29.96681592
34,1979,39.18089759,0.1355,55.76885299,92,11.26433166,30.05592292
35,1980,40.3460396,0.098264463,57.02987588,97,10.08199324,29.97561536
36,1981,43.35936781,0.058916667,53.68218634,93,11.82475631,29.94127982
37,1982,36.91827335,0.091916667,52.56115493,97,11.18973101,30.00610004
38,1983,39.9855981,0.136583333,53.06419437,97,8.59652968,29.92907683
39,1984,38.53592966,0.109669421,55.05749518,94,8.311525772,29.97698641
40,1985,41.56018189,0.058166667,51.9020811,97,10.87490243,30.00065403
41,1986,39.37556306,0.069416667,55.79581802,92,10.45420504,30.00048367
42,1987,39.50388148,0.080916667,55.93179572,87,9.931741281,30.02520027
43,1988,38.83324224,0.07892562,56.74768175,91,10.54858951,30.10869061
44,1989,39.63526742,0.105416667,57.27701591,88,11.49687656,30.16117119
45,1990,44.41674345,0.089416667,58.39657117,74,10.36562597,30.11179988
46,1991,42.29839881,0.078,56.75683298,88,10.32362308,30.0325165
47,1992,39.02081497,0.089338843,56.81831493,98,10.66921426,29.97054831
48,1993,37.26771478,0.130083333,55.91232244,101,10.54309065,30.08402427
49,1994,37.70221968,0.15425,57.09386583,95,10.19364592,30.07070308
50,1995,40.13158532,0.075083333,53.5739265,92,9.95927261,30.02674442
51,1996,37.41928593,0.113801653,54.94561416,95,11.3983009,29.97828192
52,1997,45.61532019,0,60.50708361,85,10.20797356,30.08818901
53,1998,47.50272131,0.269,67.87697548,86,9.732947999,30.00378879
54,1999,44.8778305,0.22775,63.18177801,95,9.783732681,30.05376935
55,2000,45.55404705,0.145652174,61.57911054,77,10.30176648,30.09560675
56,2001,44.06748493,0.125666667,65.94965717,96,9.510949764,30.05866867
57,2002,47.78963691,0.113916667,61.09797313,92,9.826836153,30.07170789
58,2003,41.20355998,0.2255,68.6471645,92,9.488204819,30.01731744
59,2004,43.3717747,0.129752066,58.81424803,91,9.695279483,30.12362844
60,2005,43.50050976,0.254833333,61.55764502,99,9.178540477,30.04431965
61,2006,47.13742274,0.121333333,58.51468496,89,10.07435298,30.00968363
62,2007,43.28413729,0.18725,59.71416862,91,9.712861974,30.07703287
63,2008,46.93812425,0.21446281,58.67883071,86,9.073402999,30.05904373
64,2009,42.97182521,0.141916667,58.62723971,91,9.205236368,30.09990493
65,2010,45.2891785,0.135,57.38262244,90,10.11337296,29.9173609
66,2011,44.37876318,0.200833333,62.57057939,88,9.223653519,30.05390464
67,2012,49.64051477,0.119008264,58.47062209,80,8.845936021,30.07928517
68,2013,44.98162696,0.197333333,58.14903827,99,9.545794451,30.04756212
69,2014,42.20662059,0.368333333,56.41361991,100,9.139446643,30.02676133
70,2015,42.60034238,0.213833333,54.87848135,100,9.029552383,30.11926968
71,2016,46.06594847,0.208760331,60.73144604,85,9.659152195,30.02771677
72,2017,49.59795183,0.18375,61.79209676,84,10.31317615,30.05016831
73,2018,44.11522537,0.2265,61.12145388,95,10.18480854,30.1275079
74,2019,46.64404569,0.239,59.05831295,91,9.390069509,30.11501544
75,2020,48.29928858,0.25553719,63.93815109,80,9.055534576,30.11008076
76,2021,46.08985782,0.209916667,60.77968221,87,8.953556424,30.09905703
77,2022,45.70552434,0.215416667,57.22749362,80,9.82286469,30.12453673
